complex_nm,address,lon,lat
"칠성주공1,2 ",광양시 광양읍 호북길 25 ,127.5831209,34.9825549
칠성주공3,광양시 광양읍 호북길 25 ,127.5831209,34.9825549
목성,광양시 광양읍 신재로 82 ,127.5913787,34.978283
부영,광양시 광양읍 인서4길 20 ,127.5841719,34.9674771
오성타워,광양시 광양읍 대림오성로 139 ,127.5767913,34.9652881
대림,광양시 광양읍 대림오성로 11 ,127.5650436,34.9690057
상아,광양시 광양읍 서북2길 11 ,127.5782274,34.971405
영신,광양시 광양읍 예구1길 8 ,127.5727406,34.9629842
삼보타워,광양시 광양읍 성북길 19-6 ,127.5823632,34.9721494
신광맨션,광양시 광양읍 칠성로 78-3 ,127.5868225,34.9782856
영진맨션,광양시 광양읍 인덕로 1012 ,127.582272,34.9728523
화진맨션,광양시 광양읍 성북길 17,127.5822668,34.9717254
서광아파트,광양시 광양읍 목성1길 29-10,127.592172,34.9773301
삼익,광양시 광양읍 우산공원길 64 ,127.5847674,34.9840209
계원 임대,광양시 광양읍 예구7길 10,127.5695014,34.9646855
오성2차,광양시 광양읍 덕례길 68,127.5766328,34.9641697
부성임대,광양시 광양읍 서산길 80,127.5709738,34.967927
창덕임대1차,광양시 광양읍 용강1길 11,127.6090073,34.974636
창덕임대2차,광양시 광양읍 용강1길 12,127.610219,34.9731615
매화마을,광양시 광양읍 서평1길 99,127.5789099,34.983559
효성임대아파트,광양시 광양읍 예구6길 10,127.5700062,34.96448
칠성e-편한세상,광양시 광양읍 서북2길 115,127.5754819,34.9750012
송보7차,광양시 광양읍 와룡길 33,127.6125244,34.9696532
씨엘파크빌,광양시 광양읍 우산길 14,127.5899898,34.9822718
매화하이츠빌라,"광양시 광양읍 서평8길 1, 가동402호 ",127.5774152,34.982409
덕례수시아,광양시 광양읍 서산길 43,127.5684036,34.9693872
덕진광양의봄,광양시 광양읍 서평1길 9,127.5742148,34.9764752
로얄팰리스,광양시 광양읍 서평4길 38-13 (502호),127.5747768,34.9779285
스카이뷰,광양시 대림오성로 52,127.568414,34.9674041
오네뜨,광양시 와룡길 43,127.6104189,34.9679517
광동맨션,광양시 광양읍 읍내중앙길 92-3,127.5924886,34.9753209
흥한에르가,광양시 광양읍 서산길 5,127.5628051,34.969854
태영1차,광양시 광장로 112-11,127.6970869,34.9346192
태영2차,광양시 광장로 120,127.6957296,34.9346158
성호1차임대,광양시 광장로 112-20,127.6968533,34.9326534
성호2-1차,광양시 광장로 70,127.690977,34.9321698
성호2-2차,광양시 광장로 70,127.690977,34.9321698
성호3차,광양시 광장로 84,127.6936504,34.9314825
호반,광양시 공영로 39,127.693565,34.9368009
금광1차,광양시 공영로 10,127.6901136,34.9347278
중동 부영1차(동광1차),광양시 동광길 30,127.7006838,34.9418849
중동 부영2차(동광2차),광양시 행정1길 9,127.6934343,34.9425069
중마주공1차,광양시 중마청룡길 40,127.6996931,34.9433879
중마주공2차,광양시 구마9길 11,127.6858901,34.9457059
무등파크,광양시 중마로 230,127.6898656,34.9453555
남양파크,광양시 중마로 210,127.689808,34.9432008
시영,광양시 중마용소1길 5,127.6859273,34.9417125
중동 선우,광양시 중동로 37,127.6922794,34.9410166
금광블루빌,광양시 진등6길 11,127.6871123,34.9553998
우봉카이스트빌,광양시 오류로 100,127.6964631,34.9464629
대광로제비앙,광양시 진등길 40,127.6912106,34.9516061
송보파인빌1차 ,광양시 진등길 64,127.6912788,34.9538779
송보파인빌3차 ,광양시 진등길 59,127.6900523,34.9539289
광양마동주공아파트,광양시 진등6길 31,127.689441,34.9563433
송보파인빌5차,광양시 진등길 55-5,127.6893217,34.9531247
송보파인빌6차,광양시 진등6길 51,127.6919604,34.9560702
송보파인빌2차,광양시 무등길 111,127.6923843,34.9539709
써니밸리,광양시 사동로 139,127.6875892,34.9509297
태완노블리안,광양시 마장1길 4,127.7013556,34.9437977
진아리채,광양시 중마중앙 1길 65(중동),127.696507,34.9494108
우림필유,광양시 눈소4길 65,127.7083538,34.9399835
신원아르시스,광양시 진등길 80(마동),127.6909439,34.9555718
대광로제비앙2차,광양시 진등3길 6(중동),127.6887353,34.9518432
노르웨이숲,광양시 자작길 23(마동),127.6946384,34.9513984
대광로제비앙3차,광양시 진등2길 13(중동),127.6899843,34.951639
노블레스 오피스텔,광양시 중동로 75-2(중동),127.6970072,34.9414161
덕진1차,광양시 중마로 367(마동),127.7012588,34.9523794
덕진2차,광양시 중마로 369(마동),127.7009131,34.9511165
e-편한세상,광양시 시청로 62(중동),127.6988982,34.9392122
자연애,광양시 진등5길 1,127.6889754,34.9549448
진아리채 2차,광양시 중마1길 21,127.6871228,34.9382359
광영 목우,광양시 금영로 158,127.7206074,34.9647305
광영 주공,광양시 금영로 164,127.7201116,34.9656308
상아(임대),광양시 금영로 182,127.718082,34.9667169
현대1차,광양시 금영로 170,127.71908,34.9662865
현대2차,광양시 광영로 141,127.7160594,34.9657476
가야,광양시 가야로 380,127.7149513,34.966349
광영 로데호,광양시 가야로 360,127.713729,34.9651562
광영그린파크,광양시 가야로 371,127.7135561,34.9676528
브라운스톤,광양시 가야로 345,127.7123954,34.9644859
광영부영1차,광양시 나룻1길 39,127.7272327,34.9613831
광영부영2차,광양시 금영로 164,127.7201116,34.9656308
태인 부영,광양시 태인길 1,127.7416666,34.9433853
선미하이츠,광양시 담안2길 36-10,127.7488059,34.9429225
광양제철주택관리소,광양시 희망길 12-14,127.7244877,34.9374069
동백아파트,광양시 금호로 320,127.7310154,34.9363848
목련빌라,광양시 금호로 244,127.7284291,34.9405889
장미연립,광양시 폭포사랑길 114-2,127.7329125,34.9421223
목련연립,광양시 폭포사랑길 91,127.7326751,34.9376956
